# XDI/1.0 Hephaestus/0.9.26
# Element.edge:                  K
# Element.symbol:                Cu
# Column.1:                      energy eV
# Column.2:                      xmu
# Column.3:                      bkg
# Column.4:                      pre_edge
# Column.5:                      post_edge
# Column.6:                      der
# Column.7:                      sec
# Column.8:                      i0
# Column.9:                      chi(e)
# Athena.e0:                     8977.97
# Athena.eshift:                 0
# Athena.rbkg:                   1
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              1.5112261
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -150.000 -30.000
# Athena.pre_edge_line:          4.168335 - 0.000381749 * E
# Athena.normalization_range:    100.000 1000.000
# Athena.post_edge_polynomial:   31.859671 - 0.00560643 * E + 2.57144883e-007 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 1234.435
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 18.000
# Athena.kweight:                1
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 17.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         xmu        bkg        pre_edge        post_edge        der        sec        i0        chie
  8774.1040       0.83825238       0.83825238       0.81882703        2.4645686      -0.18969136E-02   0.72955618E-04    330343.00        0.0000000
  8784.1300       0.81923392       0.81923392       0.81499961        2.4536260      -0.11654605E-02   0.72936723E-04    323666.00        0.0000000
  8794.1380       0.81490354       0.81490354       0.81117907        2.4427547      -0.43569926E-03   0.35799558E-04    321906.00        0.0000000
  8804.1680       0.81050338       0.81050338       0.80735012        2.4319111      -0.44810900E-03  -0.12596975E-05    319728.00        0.0000000
  8814.1820       0.80592165       0.80592165       0.80352729        2.4211365      -0.46094864E-03  -0.20959187E-07    317259.00        0.0000000
  8824.2170       0.80126182       0.80126182       0.79969643        2.4103909      -0.44852921E-03   0.20105766E-05    309255.00        0.0000000
  8834.2340       0.79692774       0.79692774       0.79587245        2.3997164      -0.42063256E-03   0.10019528E-05    315652.00        0.0000000
  8844.2330       0.79284244       0.79284244       0.79205534        2.3891124      -0.42847413E-03  -0.11827883E-05    314754.00        0.0000000
  8854.2560       0.78834883       0.78834883       0.78822906        2.3785346      -0.44431435E-03   0.15186021E-06    313257.00        0.0000000
  8864.2590       0.78394460       0.78394460       0.78441043        2.3680295      -0.42543297E-03   0.19063089E-05    312141.00        0.0000000
