,name,edge,ref
0,V,5465.0,"[5469.01, 5474.36]"
1,Cr,5989.0,"[5991.58, 5995.08, 5998.31]"
2,Mn,6539.0,"[6544.5, 6549.7]"
3,Fe,7112.0,"[7120.88, 7129.263]"
4,Co,7709.0,"[7717.0, 7722.4, 7732.1, 7752.0]"
5,Cu,8979.0,"[8984.5, 8989.6]"
6,Zn,9659.0,"[9665.1, 9675.6, 9689.7]"
7,Zr,17998.0,"[18007.4, 18026.2, 18041.5, 18056.0]"
8,Nb,18986.0,"[18997.1, 19010.0]"
9,Mo,20000.0,"[20010.8, 20024.8, 20039.1]"
10,Ag,25514.0,"[25539.87, 25568.0]"
11,Sn,29200.0,"[29224.73, 29250.0]"
12,Pt,11564.0,"[11579.3, 11593.0]"
13,Au,11919.0,"[11930.3, 11943.6]"
